" "	" "	"Вік"	"Кількість"
" "	" "	"18"	364263
" "	" "	"19"	371611
" "	" "	"20"	395512
" "	" "	"21"	412596
" "	" "	"22"	446051
" "	" "	"23"	464325
" "	" "	"24"	482039
" "	" "	"25"	509278
" "	" "	"26"	546093
" "	" "	"27"	582414
" "	" "	"28"	610605
" "	" "	"29"	637709
" "	" "	"30"	676550
" "	" "	"31"	697638
" "	" "	"32"	739891
" "	" "	"33"	717043
" "	" "	"34"	732871
" "	" "	"35"	741225
" "	" "	"36"	673669
" "	" "	"37"	651790
" "	" "	"38"	665256
" "	" "	"39"	626674
" "	" "	"40"	621360
" "	" "	"41"	599760
" "	" "	"42"	631356
" "	" "	"43"	617637
" "	" "	"44"	599750
" "	" "	"45"	583943
" "	" "	"46"	601258
" "	" "	"47"	594574
" "	" "	"48"	588150
" "	" "	"49"	539489
" "	" "	"50"	545829
" "	" "	"51"	536628
" "	" "	"52"	551301
" "	" "	"53"	544106
" "	" "	"54"	566013
" "	" "	"55"	601223
" "	" "	"56"	611682
" "	" "	"57"	632090
" "	" "	"58"	650228
" "	" "	"59"	615271
" "	" "	"60"	604901
" "	" "	"61"	573214
" "	" "	"62"	565190
" "	" "	"63"	520466
" "	" "	"64"	528788
" "	" "	"65"	475843
" "	" "	"66"	490063
" "	" "	"67"	480965
" "	" "	"68"	468982
" "	" "	"69"	473774
