"Вік"	"Кількість"
"18"	176714
"19"	180089
"20"	192635
"21"	200428
"22"	216738
"23"	225420
"24"	233850
"25"	247847
"26"	266082
"27"	284004
"28"	298241
"29"	312247
"30"	332057
"31"	342554
"32"	364577
"33"	354380
"34"	362258
"35"	367287
"36"	333585
"37"	326358
"38"	333314
"39"	315132
"40"	314765
"41"	305703
"42"	322152
"43"	317701
"44"	309725
"45"	302144
"46"	312643
"47"	309063
"48"	306611
"49"	283751
"50"	288460
"51"	286003
"52"	295456
"53"	294183
"54"	308268
"55"	330490
"56"	338716
"57"	350911
"58"	363542
"59"	348124
"60"	345083
"61"	330599
"62"	329158
"63"	306658
"64"	314513
"65"	286457
"66"	298156
"67"	293719
"68"	288645
"69"	296586
