"Вік"	"Кількість"
"18"	187549
"19"	191522
"20"	202877
"21"	212168
"22"	229313
"23"	238905
"24"	248189
"25"	261431
"26"	280011
"27"	298410
"28"	312364
"29"	325462
"30"	344493
"31"	355084
"32"	375314
"33"	362663
"34"	370613
"35"	373938
"36"	340084
"37"	325432
"38"	331942
"39"	311542
"40"	306595
"41"	294057
"42"	309204
"43"	299936
"44"	290025
"45"	281799
"46"	288615
"47"	285511
"48"	281539
"49"	255738
"50"	257369
"51"	250625
"52"	255845
"53"	249923
"54"	257745
"55"	270733
"56"	272966
"57"	281179
"58"	286686
"59"	267147
"60"	259818
"61"	242615
"62"	236032
"63"	213808
"64"	214275
"65"	189386
"66"	191907
"67"	187246
"68"	180337
"69"	177188
